timestamp,open,high,low,close,volume
2021-10-27 14:35:00,125.1350,125.1400,125.0500,125.0609,85435
2021-10-27 14:30:00,125.1200,125.1450,125.0600,125.1300,102587
2021-10-27 14:25:00,125.2744,125.2800,125.1200,125.1350,95589
2021-10-27 14:20:00,125.3800,125.4250,125.2300,125.2750,78007
2021-10-27 14:15:00,125.3359,125.4200,125.3100,125.3800,44897
2021-10-27 14:10:00,125.4800,125.4900,125.3000,125.3300,59966
2021-10-27 14:05:00,125.4300,125.5500,125.3900,125.4784,72402
2021-10-27 14:00:00,125.2950,125.4400,125.2900,125.4200,69051
2021-10-27 13:55:00,125.5300,125.5499,125.2600,125.2900,133692
2021-10-27 13:50:00,125.6350,125.6400,125.5050,125.5350,74875
2021-10-27 13:45:00,125.8700,125.8700,125.6300,125.6350,54474
2021-10-27 13:40:00,125.8100,125.9168,125.7500,125.8750,79342
2021-10-27 13:35:00,125.7400,125.8600,125.6800,125.8099,92155
2021-10-27 13:30:00,125.6900,125.7900,125.6400,125.7350,51543
2021-10-27 13:25:00,125.7000,125.7600,125.6850,125.7000,43307
2021-10-27 13:20:00,125.7730,125.7900,125.7000,125.7092,41615
2021-10-27 13:15:00,125.7000,125.8198,125.6700,125.7700,46677
2021-10-27 13:10:00,125.6800,125.7550,125.6674,125.6900,67534
2021-10-27 13:05:00,125.6600,125.7300,125.6400,125.6800,35661
2021-10-27 13:00:00,125.6800,125.7300,125.5400,125.6700,50550
2021-10-27 12:55:00,125.7700,125.7950,125.6900,125.6950,38932
2021-10-27 12:50:00,125.6800,125.7800,125.6600,125.7788,38435
2021-10-27 12:45:00,125.6100,125.6950,125.5200,125.6900,51758
2021-10-27 12:40:00,125.7400,125.7400,125.5500,125.6000,62809
2021-10-27 12:35:00,125.8910,125.8910,125.7300,125.7400,31407
2021-10-27 12:30:00,125.9200,125.9700,125.8100,125.9150,43411
2021-10-27 12:25:00,125.8900,125.9600,125.8900,125.9200,38866
2021-10-27 12:20:00,125.8100,125.9300,125.8000,125.9000,53790
2021-10-27 12:15:00,125.7200,125.8400,125.7100,125.8100,43668
2021-10-27 12:10:00,125.6700,125.7400,125.6200,125.7100,43684
2021-10-27 12:05:00,125.7000,125.7699,125.6700,125.6750,43475
2021-10-27 12:00:00,125.7100,125.7200,125.6300,125.6900,45749
2021-10-27 11:55:00,125.6800,125.7800,125.6750,125.7100,44131
2021-10-27 11:50:00,125.8540,125.8700,125.6750,125.6750,68431
2021-10-27 11:45:00,125.8529,125.9500,125.8200,125.8480,63741
2021-10-27 11:40:00,125.8100,125.9400,125.7900,125.8600,46711
2021-10-27 11:35:00,125.8200,125.8350,125.6300,125.8300,102779
2021-10-27 11:30:00,126.0800,126.0800,125.8200,125.8400,61833
2021-10-27 11:25:00,125.8486,126.1861,125.8450,126.0709,74576
2021-10-27 11:20:00,125.8350,125.9000,125.7800,125.8500,47105
2021-10-27 11:15:00,125.8800,125.9364,125.7700,125.8200,107600
2021-10-27 11:10:00,126.1600,126.1600,125.8600,125.8650,127474
2021-10-27 11:05:00,126.1500,126.2341,126.0300,126.1600,78644
2021-10-27 11:00:00,126.4200,126.4300,126.1100,126.1500,91808
2021-10-27 10:55:00,126.5302,126.5600,126.4200,126.4300,69450
2021-10-27 10:50:00,126.6153,126.6153,126.5200,126.5400,39066
2021-10-27 10:45:00,126.5900,126.6600,126.5500,126.6150,48908
2021-10-27 10:40:00,126.8100,126.8500,126.5650,126.6100,48759
2021-10-27 10:35:00,126.6000,126.9821,126.5568,126.8300,75713
2021-10-27 10:30:00,126.8390,126.8500,126.5256,126.6300,123510
2021-10-27 10:25:00,127.1300,127.1300,126.8000,126.8290,87232
2021-10-27 10:20:00,127.3400,127.3400,127.0362,127.1400,76747
2021-10-27 10:15:00,127.4400,127.4700,127.2700,127.3200,55195
2021-10-27 10:10:00,127.7300,127.7600,127.2309,127.4500,62757
