timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-09-03,314818.93160100,326027.70000000,308875.06306800,319629.50227800,49246.63000000,51000.00000000,48316.84000000,49999.14000000,59025.64415700,59025.64415700
2021-09-02,312030.94727700,322512.54605100,310583.32036200,314818.99552800,48810.51000000,50450.13000000,48584.06000000,49246.64000000,54410.77053800,54410.77053800
2021-09-01,301101.85950300,314239.56120000,297337.26240000,312031.01120400,47100.89000000,49156.00000000,46512.00000000,48810.52000000,49904.65528000,49904.65528000
2021-08-31,300347.64875700,308422.90739700,298539.09000000,301101.85950300,46982.91000000,48246.11000000,46700.00000000,47100.89000000,48645.52737000,48645.52737000
2021-08-30,311758.17076800,312530.21714700,299517.17310000,300347.64875700,48767.84000000,48888.61000000,46853.00000000,46982.91000000,40288.35083000,40288.35083000
2021-08-29,312573.30394500,317284.21242900,305331.58945800,311758.10684100,48895.35000000,49632.27000000,47762.54000000,48767.83000000,32652.28347300,32652.28347300
2021-08-28,313689.14973000,315153.71730000,309067.09977600,312573.30394500,49069.90000000,49299.00000000,48346.88000000,48895.35000000,26681.06378600,26681.06378600
2021-08-27,299458.74382200,314200.75751100,296288.85960000,313689.14973000,46843.86000000,49149.93000000,46348.00000000,49069.90000000,42068.10496500,42068.10496500
2021-08-26,313071.74276400,315497.90026800,295662.37500000,299458.80774900,48973.32000000,49352.84000000,46250.00000000,46843.87000000,49371.27777400,49371.27777400
2021-08-25,304765.64372700,314931.89061000,301264.17015600,313071.74276400,47674.01000000,49264.30000000,47126.28000000,48973.32000000,44655.83034200,44655.83034200
2021-08-24,316367.37139500,318740.02200000,304292.52000000,304765.64372700,49488.85000000,49860.00000000,47600.00000000,47674.01000000,51014.59474800,51014.59474800
2021-08-23,314771.56169400,322831.35000000,313427.68830000,316367.37139500,49239.22000000,50500.00000000,49029.00000000,49488.85000000,52462.54195400,52462.54195400
2021-08-22,312103.63227600,316438.65000000,307169.23500000,314771.56169400,48821.88000000,49500.00000000,48050.00000000,49239.22000000,37007.88779500,37007.88779500
2021-08-21,315303.75396900,318081.82960800,308268.77940000,312103.56834900,49322.47000000,49757.04000000,48222.00000000,48821.87000000,46745.13658400,46745.13658400
2021-08-20,298926.61547400,315690.64017300,298046.78817300,315303.75396900,46760.62000000,49382.99000000,46622.99000000,49322.47000000,56850.35222800,56850.35222800
2021-08-19,285749.66259900,300667.85910000,280816.60779000,298926.61547400,44699.37000000,47033.00000000,43927.70000000,46760.62000000,53411.75392000,53411.75392000
2021-08-18,285727.79956500,294064.20000000,282578.30805600,285787.50738300,44695.95000000,46000.00000000,44203.28000000,44705.29000000,54099.41598500,54099.41598500
2021-08-17,293433.24051000,301479.73200000,283682.45520000,285727.79956500,45901.30000000,47160.00000000,44376.00000000,44695.95000000,57039.34162900,57039.34162900
2021-08-16,300289.53911400,307193.71904100,291890.68200000,293433.17658300,46973.82000000,48053.83000000,45660.00000000,45901.29000000,52480.57401400,52480.57401400
2021-08-15,300894.79995000,302836.71042900,290867.85000000,300289.53911400,47068.50000000,47372.27000000,45500.00000000,46973.82000000,42110.71133400,42110.71133400
2021-08-14,305570.99607300,307770.14880000,293879.00348100,300894.86387700,47799.99000000,48144.00000000,45971.03000000,47068.51000000,46114.35902200,46114.35902200
2021-08-13,283836.26356200,306120.83220000,282668.50905300,305571.06000000,44400.06000000,47886.00000000,44217.39000000,47800.00000000,48239.37043100,48239.37043100
2021-08-12,290936.06010900,295458.57572400,279808.47900000,283829.48730000,45510.67000000,46218.12000000,43770.00000000,44399.00000000,55266.10878100,55266.10878100
2021-08-11,291411.22950000,298816.98066900,289852.30567800,290938.16970000,45585.00000000,46743.47000000,45341.14000000,45511.00000000,52734.90197700,52734.90197700
2021-08-10,295655.15124900,298539.09000000,285047.04094200,291411.16557300,46248.87000000,46700.00000000,44589.46000000,45584.99000000,53814.64342100,53814.64342100
2021-08-09,279964.20517200,296967.44470500,273473.31330000,295684.11018000,43794.36000000,46454.15000000,42779.00000000,46253.40000000,74587.88484500,74587.88484500
2021-08-08,284938.87645800,289653.23700000,276554.59470000,279964.26909900,44572.54000000,45310.00000000,43261.00000000,43794.37000000,69329.09269800,69329.09269800
2021-08-07,273843.25884900,285753.69000000,271347.16520700,284938.87645800,42836.87000000,44700.00000000,42446.41000000,44572.54000000,73396.74080800,73396.74080800
2021-08-06,261221.44804200,277394.78726100,254773.77082200,273843.25884900,40862.46000000,43392.43000000,39853.86000000,42836.87000000,75753.94134700,75753.94134700
2021-08-05,253938.30885900,264338.14500000,238656.75129000,261221.44804200,39723.17000000,41350.00000000,37332.70000000,40862.46000000,84343.75562100,84343.75562100
2021-08-04,244246.14460800,255514.04548200,239780.97151200,253938.37278600,38207.04000000,39969.66000000,37508.56000000,39723.18000000,52329.35243000,52329.35243000
2021-08-03,250254.13192200,254301.60600000,240634.20518100,244246.20853500,39146.86000000,39780.00000000,37642.03000000,38207.05000000,57117.43585300,57117.43585300
2021-08-02,254750.82102900,258776.55992700,247333.56300000,250260.26891400,39850.27000000,40480.01000000,38690.00000000,39147.82000000,50837.35195400,50837.35195400
2021-08-01,265053.10456800,272322.62730000,252013.08332700,254719.94428800,41461.84000000,42599.00000000,39422.01000000,39845.44000000,53953.18632600,53953.18632600
2021-07-31,269812.59757200,271357.32960000,262101.65890500,265053.04064100,42206.36000000,42448.00000000,41000.15000000,41461.83000000,44849.79101200,44849.79101200
2021-07-30,255826.20102300,270518.03201700,244924.98542100,269812.66149900,40018.49000000,42316.71000000,38313.23000000,42206.37000000,73602.78480500,73602.78480500
2021-07-29,255833.10513900,259799.32800000,250593.84000000,255813.35169600,40019.57000000,40640.00000000,39200.00000000,40016.48000000,53998.43928300,53998.43928300
2021-07-28,252234.27074700,261461.43000000,247857.76440000,255833.04121200,39456.61000000,40900.00000000,38772.00000000,40019.56000000,101344.52844100,101344.52844100
2021-07-27,238072.65029100,252784.04294700,232585.60410000,252242.32554900,37241.33000000,39542.61000000,36383.00000000,39457.87000000,88397.26701500,88397.26701500
2021-07-26,226180.24655400,259223.98500000,225059.98980600,238048.80552000,35381.02000000,40550.00000000,35205.78000000,37237.60000000,152452.51272400,152452.51272400
2021-07-25,219023.55497700,226288.79460000,216400.05482400,226180.24655400,34261.51000000,35398.00000000,33851.12000000,35381.02000000,47852.92831300,47852.92831300
2021-07-24,215012.71107000,220548.15000000,213523.46767800,219002.01157800,33634.10000000,34500.00000000,33401.14000000,34258.14000000,47977.55013800,47977.55013800
2021-07-23,206404.81266600,215114.35500000,204082.60046400,215012.64714300,32287.58000000,33650.00000000,31924.32000000,33634.09000000,50112.86362600,50112.86362600
2021-07-22,205490.20907700,208346.72314500,202699.73160000,206406.41084100,32144.51000000,32591.35000000,31708.00000000,32287.83000000,46148.09243300,46148.09243300
2021-07-21,190440.70651800,210051.33660000,188473.48094700,205490.20907700,29790.34000000,32858.00000000,29482.61000000,32144.51000000,82796.26512800,82796.26512800
2021-07-20,197148.63055500,198576.88758900,187165.47060000,190440.77044500,30839.65000000,31063.07000000,29278.00000000,29790.35000000,61034.04901700,61034.04901700
2021-07-19,203150.86443900,203920.73730000,194385.64168800,197148.63055500,31778.57000000,31899.00000000,30407.44000000,30839.65000000,47340.46849900,47340.46849900
2021-07-18,201498.35148900,207347.22450000,198870.31251900,203150.80051200,31520.07000000,32435.00000000,31108.97000000,31778.56000000,35923.71618600,35923.71618600
2021-07-17,200627.60182200,204284.60978400,199224.08453700,201498.35148900,31383.86000000,31955.92000000,31164.31000000,31520.07000000,34012.24213200,34012.24213200
2021-07-16,203764.05222300,206159.33298600,198301.55400000,200627.66574900,31874.49000000,32249.18000000,31020.00000000,31383.87000000,48499.86415400,48499.86415400
2021-07-15,209808.60578100,212143.34767500,199023.92910000,203799.27600000,32820.03000000,33185.25000000,31133.00000000,31880.00000000,51639.57635300,51639.57635300
2021-07-14,209227.44542400,211688.05958100,201689.68500000,209808.54185400,32729.12000000,33114.03000000,31550.00000000,32820.02000000,46777.82348400,46777.82348400
2021-07-13,211514.88133800,213132.61800000,205859.32357500,209231.60067900,33086.94000000,33340.00000000,32202.25000000,32729.77000000,41126.36100800,41126.36100800
